10 17956 54491
1 231 -0.420159 -0.0375367
0 232 -0.380467 -0.0734759
1 232 -0.339112 -0.0387831
0 233 -0.329552 -0.0703598
1 233 -0.289236 -0.0425225
0 234 0.0788021 -0.0703598
1 234 0.196217 -0.0516631
0 235 -0.506194 -0.0682824
1 235 -0.493725 -0.0277728
0 236 0.273108 -0.0682824
1 236 0.395303 -0.0562334
0 237 -0.480217 -0.066205
1 237 -0.461306 -0.0275651
0 238 -0.374232 -0.066205
1 238 -0.324357 -0.0298503
0 239 -0.369037 -0.066205
1 239 -0.319162 -0.0313044
0 240 -0.333709 -0.066205
1 240 -0.292977 -0.0362902
0 241 -0.476061 -0.0641276
1 241 -0.456319 -0.0250722
0 242 -0.475022 -0.058934
1 242 -0.454241 -0.0194632
0 243 -0.425147 -0.0558179
1 243 -0.401456 -0.0200864
0 244 -0.423069 -0.0547792
1 244 -0.397715 -0.01884
0 245 0.0611379 -0.0537405
1 245 0.175602 -0.0328002
0 246 -0.0230268 -0.0527018
1 246 0.0493175 -0.0381848
0 247 0.063216 -0.0527018
1 247 0.179592 -0.0325509
0 248 -0.445928 -0.0516631
1 248 -0.424108 -0.013231
0 249 -0.364881 -0.0495857
1 249 -0.316668 -0.0126077
0 250 0.0237314 -0.0443922
1 250 0.124729 -0.0250722
0 251 -0.373193 -0.0423147
1 251 -0.326435 -0.0049213
0 252 0.0268486 -0.0423147
1 252 0.12847 -0.0225793
0 253 -0.33163 -0.041276
1 253 -0.292977 -0.00886838
0 254 -0.328513 -0.041276
1 254 -0.289236 -0.0101148
0 255 -0.011597 -0.0391986
1 255 0.0661255 -0.0225793
0 256 0.0102235 -0.0391986
1 256 0.0981555 -0.0227488
0 257 -0.386701 -0.0381599
1 257 -0.342852 0.00110321
0 258 -0.0147142 -0.0381599
1 258 0.0618861 -0.0208343
0 259 0.402992 -0.0360825
1 259 0.519368 -0.0288116
0 260 -0.479178 -0.0350438
1 260 -0.465047 0.00733545
0 261 -0.390857 -0.0350438
1 261 -0.34784 0.0035961
0 262 -0.0219877 -0.0350438
1 262 0.0529085 -0.0178428
0 263 -0.419951 -0.0329664
1 263 -0.395222 0.00484256
0 264 0.0164579 -0.0329664
1 264 0.106026 -0.016347
0 265 -0.0323784 -0.030889
1 265 0.0367489 -0.0166462
0 266 -0.0251049 -0.030889
1 266 0.0469234 -0.0133556
0 267 -0.464631 -0.0277728
1 267 -0.445097 0.0148142
0 268 -0.0313393 -0.0277728
1 268 0.0385444 -0.0112615
0 269 -0.00744071 -0.0277728
1 269 0.0736067 -0.0101148
0 270 -0.00120629 -0.0277728
1 270 0.0823349 -0.0101148
0 271 -0.440733 -0.0256954
1 271 -0.418912 0.0148142
0 272 0.00294999 -0.0256954
1 272 0.0888187 -0.00737264
0 273 -0.417873 -0.0246567
1 273 -0.390234 0.0148142
0 274 0.0164579 -0.0246567
1 274 0.107273 -0.00637549
0 275 0.0195751 -0.0246567
1 275 0.111013 -0.00637549
0 276 -0.44385 -0.023618
1 276 -0.421406 0.017307
0 277 -0.428264 -0.023618
1 277 -0.401456 0.017307
0 278 -0.319162 -0.0225793
1 278 -0.275521 0.011698
0 279 -0.00224536 -0.0225793
1 279 0.081088 -0.00388257
0 280 0.0580207 -0.0225793
1 280 0.168121 -0.00288542
0 281 -0.027183 -0.0215406
1 281 0.0436815 -0.00388257
0 282 -0.430342 -0.0205019
1 282 -0.405197 0.0210464
0 283 -0.42203 -0.0194632
