15 7909 27058
1 181 -0.150768 -0.12272
0 182 0.073198 0.222777
1 182 0.0837524 0.171372
0 183 0.0234146 0.215106
1 183 0.0356897 0.163962
0 184 -0.195718 0.305375
1 184 -0.186672 0.202403
0 185 0.0761321 0.244594
1 185 0.0858034 0.194197
0 186 -0.187469 -0.0387553
1 186 -0.160232 -0.0829281
0 187 -0.226867 0.361838
1 187 -0.218714 0.256951
0 188 0.131213 -0.26728
1 188 0.152481 -0.295508
0 189 0.212277 0.186833
1 189 0.222407 0.140479
0 190 0.064851 0.161894
1 190 0.076543 0.107967
0 191 0.140917 -0.300132
1 191 0.163496 -0.31168
0 192 0.527584 -0.318184
1 192 0.536327 -0.350986
0 193 0.197177 0.0398827
1 193 0.211682 0.00303681
0 194 0.114928 -0.234416
1 194 0.136181 -0.264373
0 195 -0.130098 -0.0525441
1 195 -0.106809 -0.0966227
0 196 -0.00115044 -0.161615
1 196 0.0200705 -0.199802
0 197 -0.00866183 0.195553
1 197 0.0057641 0.145902
0 198 0.207498 0.24181
1 198 0.218503 0.198885
0 199 -0.108205 0.0103228
1 199 -0.0883789 -0.0397712
0 200 -0.0741196 -0.309619
1 200 -0.0456949 -0.337587
0 201 0.0412027 0.265677
1 201 0.0531457 0.218088
0 202 0.152539 -0.0348931
1 202 0.165882 -0.0863038
0 203 0.194616 0.128729
1 203 0.206585 0.0793553
0 204 0.0370778 -0.105378
1 204 0.055736 -0.146482
0 205 -0.0611033 -0.301727
1 205 -0.0329282 -0.33033
0 206 -0.0372692 -0.270012
1 206 -0.0116405 -0.300592
0 207 -0.138875 -0.0486724
1 207 -0.114768 -0.0922283
0 208 -0.141011 -0.34554
1 208 -0.105671 -0.367832
0 209 0.288344 0.0521185
1 209 0.301161 0.0120676
0 210 -0.218894 -0.0438943
1 210 -0.190379 -0.0873942
0 211 -0.144543 -0.350067
1 211 -0.109202 -0.372148
0 212 0.334029 -0.197732
1 212 0.348034 -0.234362
0 213 -0.114932 -0.344037
1 213 -0.0821318 -0.368443
0 214 -0.175637 -0.0830717
1 214 -0.14885 -0.125628
0 215 -0.066369 -0.0468441
1 215 -0.0447073 -0.0875929
0 216 -0.217887 0.364533
1 216 -0.208983 0.258022
0 217 0.0274174 -0.209559
1 217 0.0504341 -0.243492
0 157 0.207774 0.142554
0 218 0.0728589 0.295548
1 218 0.0841912 0.249856
0 219 0.00599932 -0.159271
1 219 0.0270715 -0.197371
0 220 0.121144 -0.297466
1 220 0.143533 -0.320325
0 221 0.133076 0.00330769
1 221 0.147211 -0.0401839
0 222 0.0572297 0.320732
1 222 0.0680818 0.277063
0 223 0.130219 -0.237985
1 223 0.151496 -0.267182
0 224 0.321569 0.00134447
1 224 0.333861 -0.0356222
